TeamID,TeamName,Conference,ConferenceRecord,Division,DivisionRecord,WINS,LOSSES,WinPCT
1610612760,Thunder,West,26-6,Northwest,7-2,32,7,0.821
1610612765,Pistons,East,20-6,Central,7-3,28,9,0.757
1610612738,Celtics,East,17-8,Atlantic,6-4,24,13,0.649
1610612759,Spurs,West,15-9,Southwest,7-1,26,11,0.703
1610612752,Knicks,East,18-11,Atlantic,5-3,24,14,0.632
1610612743,Nuggets,West,16-7,Northwest,4-1,25,13,0.658
1610612750,Timberwolves,West,13-10,Northwest,4-4,25,13,0.658
1610612761,Raptors,East,20-11,Atlantic,3-7,23,16,0.59
1610612747,Lakers,West,18-9,Pacific,4-4,23,13,0.639
1610612755,76ers,East,16-12,Atlantic,7-3,21,15,0.583
1610612748,Heat,East,12-10,Southeast,3-3,20,17,0.541
1610612745,Rockets,West,12-12,Southwest,2-4,22,13,0.629
1610612739,Cavaliers,East,14-13,Central,7-3,21,18,0.538
1610612756,Suns,West,20-13,Pacific,8-4,23,15,0.605
1610612753,Magic,East,15-14,Southeast,5-4,21,18,0.538
1610612744,Warriors,West,14-12,Pacific,5-3,21,18,0.538
1610612737,Hawks,East,10-15,Southeast,4-3,19,21,0.475
1610612757,Trail Blazers,West,16-13,Northwest,4-4,19,20,0.487
1610612763,Grizzlies,West,14-13,Southwest,5-3,16,22,0.421
1610612741,Bulls,East,13-14,Central,3-7,17,20,0.459
1610612749,Bucks,East,13-14,Central,5-4,17,21,0.447
1610612746,Clippers,West,10-14,Pacific,4-4,14,23,0.378
1610612742,Mavericks,West,8-17,Southwest,3-6,14,24,0.368
1610612766,Hornets,East,11-18,Southeast,4-4,13,25,0.342
1610612762,Jazz,West,8-18,Northwest,0-8,13,24,0.351
1610612751,Nets,East,8-16,Atlantic,3-7,11,24,0.314
1610612740,Pelicans,West,4-23,Southwest,3-6,9,31,0.225
1610612764,Wizards,East,7-18,Southeast,2-4,10,27,0.27
1610612758,Kings,West,6-24,Pacific,1-7,8,30,0.211
1610612754,Pacers,East,5-19,Central,2-7,7,31,0.184
